feature,importance_mean,importance_std,folds_used,model
concave_points_worst,0.013219133924996995,0.005014342857838656,5,hetero_vote_soft
texture_worst,0.00531333565562192,0.002248179218943904,5,hetero_vote_soft
concavity_mean,0.0016011031737366266,0.003074513449976599,5,hetero_vote_soft
radius_se,0.001497726670098094,0.00173698003202561,5,hetero_vote_soft
area_se,0.0013680489482978642,0.0032947560711293596,5,hetero_vote_soft
radius_worst,0.001197241589069269,0.002415031445952483,5,hetero_vote_soft
perimeter_worst,0.0011584212423550611,0.002414328619650511,5,hetero_vote_soft
concave_points_mean,0.0007079232500948729,0.002315205771091543,5,hetero_vote_soft
area_worst,0.0006027725352979064,0.0022322303322129962,5,hetero_vote_soft
perimeter_se,0.00053757514943231,0.0019245563168025612,5,hetero_vote_soft
concavity_se,0.0003733468857936417,0.0007090792490527295,5,hetero_vote_soft
concave_points_se,0.0002826844789668082,0.001212293485766191,5,hetero_vote_soft
symmetry_se,0.00020873301826459522,0.0008605273718575093,5,hetero_vote_soft
fractal_dimension_se,0.00020547054939454851,0.001237367188292359,5,hetero_vote_soft
compactness_se,0.000167048804454617,0.0005324702434061694,5,hetero_vote_soft
symmetry_mean,0.00014322368318436584,0.000783408253206263,5,hetero_vote_soft
symmetry_worst,0.00014218385246879574,0.0008747263694525667,5,hetero_vote_soft
bratio,0.0001248663384267479,0.00045682160094505234,5,hetero_vote_soft
gender,0.0,0.0,5,hetero_vote_soft
smoothness_worst,-2.8253067067367592e-05,0.0025214007261270955,5,hetero_vote_soft
texture_mean,-0.00027350364027405093,0.001068016377739584,5,hetero_vote_soft
perimeter_mean,-0.00029062185342896505,0.001106887696687804,5,hetero_vote_soft
area_mean,-0.00029963371963047657,0.0009550749977182228,5,hetero_vote_soft
concavity_worst,-0.0003064056171655593,0.0015822789178760333,5,hetero_vote_soft
smoothness_mean,-0.0003093994631007635,0.00030113876316605564,5,hetero_vote_soft
radius_mean,-0.00046400712630653154,0.0011068048581495467,5,hetero_vote_soft
fractal_dimension_worst,-0.000531674110121565,0.0015795716416347647,5,hetero_vote_soft
fractal_dimension_mean,-0.0005482399132088257,0.0006697268609333454,5,hetero_vote_soft
compactness_worst,-0.000559771202581576,0.0010824439673150976,5,hetero_vote_soft
compactness_mean,-0.0005613287823409307,0.0011862902437822706,5,hetero_vote_soft
texture_se,-0.0006358911435885229,0.0009867327098190806,5,hetero_vote_soft
smoothness_se,-0.0006817541770866798,0.0011719578231323968,5,hetero_vote_soft
